{'date': '2024-06-03 08:12:35.924136', 'ip': '127.0.0.1', 'path': 'cmd.php?input=nhom3test', 'body': '', 'cookie': 'ajs_anonymous_id=5400991b-0412-43de-b1e6-09a99ffe183f;', 'is_abnormal': 0.54548013}
{'date': '2024-06-03 08:12:39.053926', 'ip': '127.0.0.1', 'path': '', 'body': '', 'cookie': 'ajs_anonymous_id=5400991b-0412-43de-b1e6-09a99ffe183f;', 'is_abnormal': 0.0004321733}
{'date': '2024-06-03 08:12:56.267472', 'ip': '127.0.0.1', 'path': 'get.php', 'body': '', 'cookie': 'ajs_anonymous_id=5400991b-0412-43de-b1e6-09a99ffe183f;', 'is_abnormal': 0}
{'date': '2024-06-03 08:12:58.245581', 'ip': '127.0.0.1', 'path': 'get.php?input=%3Cscript%3Ealert%281%29%3C%2Fscript%3E', 'body': '', 'cookie': 'ajs_anonymous_id=5400991b-0412-43de-b1e6-09a99ffe183f;', 'is_abnormal': 0.84318817}
{'date': '2024-06-03 08:13:02.804773', 'ip': '127.0.0.1', 'path': 'xxe.php', 'body': '', 'cookie': 'ajs_anonymous_id=5400991b-0412-43de-b1e6-09a99ffe183f;', 'is_abnormal': 0}
{'date': '2024-06-03 08:13:06.464168', 'ip': '127.0.0.1', 'path': 'xxe.php', 'body': '&lt;user&gt;\r\n  &lt;name&gt;test&lt;/name&gt;\r\n  &lt;bio&gt;test&lt;/bio&gt;\r\n&lt;/user&gt;', 'cookie': 'ajs_anonymous_id=5400991b-0412-43de-b1e6-09a99ffe183f;', 'is_abnormal': 0.782949}
{'date': '2024-06-03 08:13:09.916002', 'ip': '127.0.0.1', 'path': 'xxe.php', 'body': '&lt;user&gt;\r\n  &lt;name&gt;yoden&lt;/name&gt;\r\n  &lt;bio&gt;&amp;pass;&lt;/bio&gt;\r\n&lt;/user&gt;', 'cookie': 'ajs_anonymous_id=5400991b-0412-43de-b1e6-09a99ffe183f;', 'is_abnormal': 0.8240664}
{'date': '2024-06-03 08:13:13.958272', 'ip': '127.0.0.1', 'path': 'xxe.php', 'body': '', 'cookie': 'ajs_anonymous_id=5400991b-0412-43de-b1e6-09a99ffe183f;', 'is_abnormal': 0}
{'date': '2024-06-03 08:13:15.680157', 'ip': '127.0.0.1', 'path': 'sqli.php', 'body': '', 'cookie': 'ajs_anonymous_id=5400991b-0412-43de-b1e6-09a99ffe183f;', 'is_abnormal': 0}
{'date': '2024-06-03 08:13:21.531764', 'ip': '127.0.0.1', 'path': 'sqli.php?input=phuong', 'body': '', 'cookie': 'ajs_anonymous_id=5400991b-0412-43de-b1e6-09a99ffe183f;', 'is_abnormal': 0.56860936}
{'date': '2024-06-03 08:13:23.487005', 'ip': '127.0.0.1', 'path': 'sqli.php?input=%27or+1%3D1%3B--', 'body': '', 'cookie': 'ajs_anonymous_id=5400991b-0412-43de-b1e6-09a99ffe183f;', 'is_abnormal': 0.5975163}
